childId,childName,parentId,parentName
19047,"exhibition: 'Joseph Beuys, 4 Bücher aus Projekt Westmensch 1958', Basel, Berlin, 1994",18725,arts
19340,"exhibition: 'Joseph Beuys, Wasserfarben', Kunsthalle, Düsseldorf, 1986",18725,arts
13939,Ashby-de-la-Zouch - non-specific,115,"UK cities, towns and villages"
23441,"Venice, Ponte dell'Accademia",107,"cities, towns, villages (non-UK)"
5626,"Ashcroft, Peggy",102,named individuals
19179,"exhibition: 'Joseph Beuys, Drawings', Royal Academy of Arts, London, 1999",18725,arts
18539,Serra Pelada gold mine,8407,man-made landmarks (non-UK)
5403,bay,72,plants and flowers
5436,"Balzac, Honoré de",102,named individuals
3400,"Graham, Frances",102,named individuals
3401,"Horner, Frances",102,named individuals
6997,"Lee, William",102,named individuals
24512,"Berne, Kramgasse",107,"cities, towns, villages (non-UK)"
12727,Dulwich - non-specific,9301,UK London
13901,"Coburg, Ketschentor",107,"cities, towns, villages (non-UK)"
18276,"Pius XII, Pope",102,named individuals
17183,"Guildford, Coldkitchen fram",115,"UK cities, towns and villages"
26542,Kingsbridge,115,"UK cities, towns and villages"
7669,tom tit,62,animals: birds
11817,"Venice, Palazzo Pisani-Moretta",107,"cities, towns, villages (non-UK)"
13123,Backberg,107,"cities, towns, villages (non-UK)"
19413,period: Native American Civilization,38,politics and society
19415,society: American Indian Movement,38,politics and society
5637,Tajo Valley,111,natural features (non-UK)
19174,"Ulm, Kramgasse 4, Schuhhaussal",107,"cities, towns, villages (non-UK)"
19173,"exhibition: 'Frauen und Mädchen, Zeichnungen 1947-1961', Kunstverein Ulm, 1982",18725,arts
15088,Jochenstein,107,"cities, towns, villages (non-UK)"
15087,Obernzell,107,"cities, towns, villages (non-UK)"
5352,Menton,107,"cities, towns, villages (non-UK)"
22673,"Herold, Georg",102,named individuals
10209,"Redenhall, St Mary's Church",115,"UK cities, towns and villages"
5714,sexton,120,religious
12388,"book, 'Fighting the Traffic in Young Girls'",174,"reading, writing, printed matter"
19519,"Gabo, Naum, sculpture",10639,"fine art and design, named works"
18624,"Stockton-on-Tees, The Arc",115,"UK cities, towns and villages"
18623,"Wilson, Richard, sculpture, 'Over Easy'",10639,"fine art and design, named works"
6691,Thetis,141,classical myths: gods and heroes
6690,Vulcan,141,classical myths: gods and heroes
28558,"Marechiaro, Scuola di Virgilio",107,"cities, towns, villages (non-UK)"
4821,"Bois de Meudon, Trivaux Pond",111,natural features (non-UK)
10823,Burghead Bay,112,UK natural features
10822,Moray Firth,112,UK natural features
10821,Burghead,115,"UK cities, towns and villages"
18504,film reel,80,fine arts and music
9431,"Warde, Beatrice",102,named individuals
10773,"Biagio di Antonio, painting",10639,"fine art and design, named works"
11295,"Epine, Notre-Dame de l'Épine Basilica",107,"cities, towns, villages (non-UK)"
18201,"Edinburgh, Melville Street, Richard Demarco Gallery",115,"UK cities, towns and villages"
14344,"Hargood, Kate",102,named individuals
10256,Fotheringhay,115,"UK cities, towns and villages"
10013,River Spaarne,111,natural features (non-UK)
15464,Zoutelande,107,"cities, towns, villages (non-UK)"
18214,"Paris, Bar de la Lune",107,"cities, towns, villages (non-UK)"
18213,"Bijou, Madame",102,named individuals
1528,The Beach Boys,103,named groups
12741,"Davy, Eustatia",102,named individuals
25132,"ship, warship, 'HMS Argonaut'",161,transport: water
16337,"Heidelberg, Hauptstrasse",107,"cities, towns, villages (non-UK)"
7904,vine leaf,1809,trees
11028,"Romsey, Romsey Abbey",115,"UK cities, towns and villages"
16036,"Molyneux, Capel, The Rt Hon. Sir,",102,named individuals
15405,James,102,named individuals
29714,"ship, sailing, 'Royal Sovereign'",161,transport: water
12175,"Raphael, painting, 'St Catherine of Alexandria'",10639,"fine art and design, named works"
16868,annual wall rocket,72,plants and flowers
11229,whistling,177,actions: expressive
5914,Penrhyndeudraeth,115,"UK cities, towns and villages"
13795,"Camden, Camden Lock",9301,UK London
19346,"event: 'Die Unsichtbare Skulptur', Naturkundemuseum Ottoneum, Kassel, 1989",18725,arts
19347,"exhibition: 'documenta 8', 1989",18725,arts
15391,"Wilson, Richard",10639,"fine art and design, named works"
13496,"Gibson, Hoot",102,named individuals
10370,"Venice, Piazza San Marco, Pilastri Acritani",107,"cities, towns, villages (non-UK)"
9319,"Woolwich, Royal Arsenal",9301,UK London
11923,Barking,9301,UK London
4520,Ivinghoe,115,"UK cities, towns and villages"
13542,"Richier, Germaine",102,named individuals
9607,"Segesta, Temple of Ceres",107,"cities, towns, villages (non-UK)"
13772,Saint-Malo,107,"cities, towns, villages (non-UK)"
3642,"Kytson, Thomas, Sir",102,named individuals
9719,Nibelungenlied,57,"tales, legends and traditional"
9722,Siegfried,716,characters
5828,"Fry, Caroline",102,named individuals
11147,propaganda,155,government and politics
10983,Y Cnicht,112,UK natural features
8570,"Sekers, Alan",102,named individuals
15412,"Friern Barnet, Friars Avenue 12",9301,UK London
4946,"Joscelyne, Madeleine",102,named individuals
15099,Bratislava,107,"cities, towns, villages (non-UK)"
7939,Ashbourne,115,"UK cities, towns and villages"
10226,"Pissarro, Camille",102,named individuals
13392,River Shannon,111,natural features (non-UK)
12796,Athlone,107,"cities, towns, villages (non-UK)"
10918,Transfiguration,134,Bible: New Testament
10688,"Raphael, painting, 'Transfiguration'",10639,"fine art and design, named works"
7134,"Woollet, William",102,named individuals
10711,"West, Benjamin, painting, 'The Death of General Wolfe'",10639,"fine art and design, named works"
2643,"Oxford, Wier's Paper Mill",115,"UK cities, towns and villages"
16443,Tenterden,115,"UK cities, towns and villages"
12061,Hareden,115,"UK cities, towns and villages"
20168,Art & Language,103,named groups
15730,"Chacombe, Wesley Place 3",115,"UK cities, towns and villages"
13053,"Paris, Arc de Triomphe de l'Etoile",107,"cities, towns, villages (non-UK)"
9704,Eumaeus,141,classical myths: gods and heroes
15834,exile,147,crime and punishment
19125,"Rendsburg, Arsenalstrasse  2-10, Museum for Culture",107,"cities, towns, villages (non-UK)"
19124,"exhibition: 'Joseph Beuys', Museum for Culture, Rendsburg, 1993",18725,arts
18730,"exhibition: 'Bernd Jansen', Kunstmuseum, Düsseldorf, 1975",18725,arts
16224,Zonderbeke,107,"cities, towns, villages (non-UK)"
12339,"book, Stein, Gertrude, 'Four in America'",174,"reading, writing, printed matter"
24759,"Poussin, Nicolas, painting, 'Gathering of the Manna'",10639,"fine art and design, named works"
12034,Dunmail Raise,112,UK natural features
12033,Helm Crag,112,UK natural features
21155,camping,52,recreational activities
13393,Fulham,9301,UK London
13526,Mansfield,107,"cities, towns, villages (non-UK)"
28219,"Rome, Santa Maria in Trastevere",107,"cities, towns, villages (non-UK)"
16660,Arenig,115,"UK cities, towns and villages"
7592,"Canterbury, West Gate",115,"UK cities, towns and villages"
838,shaving brush,88,clothing and personal effects
8019,"Stanton Harcourt, Pope's Tower",115,"UK cities, towns and villages"
7280,knowledge - female figure holding light,1030,abstract concepts
11957,"Rome, Arch of Janus",107,"cities, towns, villages (non-UK)"
11959,"Rome, Arcus Argentariorum",107,"cities, towns, villages (non-UK)"
11958,"Rome, San Giorgio in Velabro",107,"cities, towns, villages (non-UK)"
14308,"Uberti, Fazio degli",58,literature (not Shakespeare)
19128,"exhibition: 'Joseph Beuys, Posters', Kunstmuseum, Heidenheim, 2005",18725,arts
19129,"Heidenheim, Marienstrasse 4, Kunstmuseum, Hermann Voith Galerie",107,"cities, towns, villages (non-UK)"
14018,Japanese,22,periods and styles
14188,River Isar,111,natural features (non-UK)
19384,Lelant,115,"UK cities, towns and villages"
29727,"Pélerin, Jean",102,named individuals
13579,Loch Etive,112,UK natural features
14987,"Lloyd, Marie",102,named individuals
10644,"Teniers, drawing",10639,"fine art and design, named works"
16229,Clytie,141,classical myths: gods and heroes
12430,dart board,285,sports and games
10862,Bonar Bridge,115,"UK cities, towns and villages"
16190,Lysterfield,107,"cities, towns, villages (non-UK)"
10162,Kirkmaiden-in-Fernis,8285,UK man-made landmarks
29354,"Pompeii, Building of Eumachia",107,"cities, towns, villages (non-UK)"
17066,commerce - cadaceus,8024,society
16193,Isle of Dogs,9301,UK London
4934,"Gray, Rosalind",102,named individuals
15709,"Hampstead, Heath Street",9301,UK London
16877,"Fougeron, Henriette",102,named individuals
19664,milk pail,84,kitchen
1967,"Morton, Anne Wortley, Lady",102,named individuals
1969,"Wortley, Anne",102,named individuals
14772,"Sassoon, Arthur, Mrs",102,named individuals
15396,"Jackson, John, 'Shylock'",10639,"fine art and design, named works"
12955,"music: Stravinsky, Igor, 'A Soldier's Tale'",10058,"film, music and ballet"
12711,tug of war,54,sport
10167,Moreton-Corbet,115,"UK cities, towns and villages"
12900,Versailles - non-specific,107,"cities, towns, villages (non-UK)"
4233,"Aix-en-Provence, Jas de Bouffan",107,"cities, towns, villages (non-UK)"
8318,Cara Island,112,UK natural features
19076,"exhibition: 'Joseph Beuys', art intermedia, Cologne, 1971",18725,arts
19077,"Cologne, Brüsseler Strasse 44, Art Intermedia",107,"cities, towns, villages (non-UK)"
18860,"group: Andy Warhol's Factory, New York, 1960s",18725,arts
25205,"Emerson, Eric",102,named individuals
25202,"Morrissey, Paul",102,named individuals
25207,"Hompertz, Tom",102,named individuals
25204,"Malanga, Gerard",102,named individuals
25206,"Johnson, Jay",102,named individuals
25203,"Mead, Taylor",102,named individuals
25201,Candy Darling,102,named individuals
18861,"New York, Manhattan, East 47th Street 231",107,"cities, towns, villages (non-UK)"
16192,Holborn Underground Station,9301,UK London
18896,"exhibition: 'Josef Beuys', Städtisches Museum Haus Koekkoek, Cleves, 1961",18725,arts
10949,Cossack,152,dress: nations/regions
6164,Russian folklore,57,"tales, legends and traditional"
11067,"Dronfield, St John the Baptist's Church",115,"UK cities, towns and villages"
17807,"de Kooning, Willem",102,named individuals
11143,"Rothenstein, Michael, assemblage, 'Gothic Moonshot'",10639,"fine art and design, named works"
16389,Mato Grosso,107,"cities, towns, villages (non-UK)"
12002,Rosthwaite Fell,112,UK natural features
18363,manga,6927,lifestyle and culture
18362,Annlee,716,characters
18365,"film: Huyghe, Pierre, 'Two Minutes Out of Time'",10058,"film, music and ballet"
18364,"film: Parreno, Philippe, 'Anywhere Out of the World'",10058,"film, music and ballet"
14208,Chouzy,107,"cities, towns, villages (non-UK)"
9767,Pollegio,107,"cities, towns, villages (non-UK)"
22735,grisaille,6729,formal qualities
5862,"Tangye, Nigel",102,named individuals
8272,Moritzburg Lakes,111,natural features (non-UK)
6443,"Paolozzi, Eduardo, Sir",102,named individuals
14785,Sedia del Diavolo,8407,man-made landmarks (non-UK)
11657,Kirkcudbright,115,"UK cities, towns and villages"
21147,Latin American,179,ethnicity
5811,Weybridge - non-specific,115,"UK cities, towns and villages"
2744,material world - half-buried figures,1030,abstract concepts
12165,"Eyck, Jan Van, painting, 'The Arnolfini Portrait'",10639,"fine art and design, named works"
14506,"Scobel, Emily",102,named individuals
11911,"'Capitoline Venus', sculpture",10639,"fine art and design, named works"
11384,"Neath, Neath Abbey",115,"UK cities, towns and villages"
13545,Hydra,142,classical myths: creatures
14761,"Onassis, Jaqueline Kennedy",102,named individuals
5346,sainfoin,72,plants and flowers
16823,bird table,79,"agriculture, gardening & fishing"
10039,ash,1809,trees
14499,"Connolly, Cyril",102,named individuals
14502,"MacNeice, Louis",102,named individuals
14501,"Spender, Stephen",102,named individuals
14500,"Strachey, John",102,named individuals
18636,"Oppenheim, Dennis, performance,  'Parallel Stress'",10639,"fine art and design, named works"
12364,"Olson, Charles",102,named individuals
14650,"Frankfurt, Römerberg",107,"cities, towns, villages (non-UK)"
14651,"Frankfurt, St Nicholas's Church",107,"cities, towns, villages (non-UK)"
5183,"Paris, Place Dauphine, Pont Neuf",107,"cities, towns, villages (non-UK)"
4666,Greatorex,102,named individuals
18941,"event: 'Joseph Beuys', Galleria Ferrari, Verona, 1978",18725,arts
18942,"Verona, Via Carlo Cattaneo 14, Galleria Ferrari",107,"cities, towns, villages (non-UK)"
8801,cod,65,animals: fish and aquatic life
