subjectId,subjectName,count
/0,Castel à Mare,52188
/0,Castellammare di Stabia,52188
/0,"Castellani, Rachel",52188
/0,"Castle Acre, Castle Acre Priory",52188
/0,"Castle Ashby, Castle Ashby House",52188
/0,"Castle Bolton, Bolton Castle",52188
/0,Castle Crag,52188
/0,Castle Head,52188
/0,Castle Sinclair,52188
/0,Castle of Rovigliano,52188
/0,"Castlemaine, Lady",52188
/0,Castlemartin,52188
/0,Castleton - non-specific,52188
/0,"Castleton, Peveril's Castle",52188
/0,Cattolica,52188
/0,"Cavafy, Constantine Peter",52188
/0,"Cavafy, Constantine Peter - non-specific",52188
/0,"Cavafy, Constantine Peter, 'Snow White and the Seven Dwarfs'",52188
/0,"Cavafy, Constantine Peter, 'The Mirror at the Entrance'",52188
/0,Caversham - non-specific,52188
/0,"Caversham, Caversham Park",52188
/0,"Cecil, Anne, Lady",52188
/0,"Cesena, Rocca Malatestiana",52188
/0,"Chacombe, Wesley Place 3",52188
/0,"Chagall, Marc, painting",52188
/0,Chale - non specific,52188
/0,"Chale, St Andrew's Church",52188
/0,Chalfont House,52188
/0,"Chamberlain, Neville",52188
/0,"Chamberlain, Neville - crab",52188
/0,"Chantrey, Francis, Sir",52188
/0,Charenton-Le-Pont,52188
/0,"Charing, Bishop's Palace",52188
/0,Charles I,52188
/0,"Charles II, King",52188
/0,"Charles, Cyril",52188
/0,"Charleston, Miles Brewton House",52188
/0,"Charleston, Wedge Plantation",52188
/0,Charlotte Place,52188
/0,Charlton,52188
/0,"Charlton, Daphne",52188
/0,Charon,52188
/0,"Chase, James Hadley, 'No Orchids for Miss Blandish'",52188
/0,Chatsworth House,52188
/0,"Chatterton, Thomas",52188
/0,"Chaucer, Geoffrey, 'Canterbury Tales' - non-specific",52188
/0,"Chaucer, Geoffrey, 'Canterbury Tales: Sir Topaz'",52188
/0,"Chaucer, Geoffrey, 'Canterbury Tales: The Knight's Tale'",52188
/0,"Chaucer, Geoffrey, 'Canterbury Tales: The Squire's Tale'",52188
/0,"Chaucer, Geoffrey, 'The Legend of Good Women'",52188
/0,"Chaucer, Geoffrey, 'The Resurrection of the Daisy'",52188
/0,"Checketts, Michael",52188
/0,Cheesering,52188
/0,"Chelsea, Beaufort Street",52188
/0,Chepstow - non-specific,52188
/0,"Chepstow, Chepstow Castle",52188
/0,Cherbourg - non-specific,52188
/0,"Cherbourg, rue de la Paix 31, Galerie Le Fil",52188
/0,Cherington,52188
/0,"Chertsey, Chertsey Bridge",52188
/0,Cheshire,52188
/0,Chester - non-specific,52188
/0,Chevin,52188
/0,Chiavenna,52188
/0,"Chicago, Biograph Theater",52188
/0,"Chicago, East Ohio Street 210, LoGiudice Gallery",52188
/0,"Chicago, East Ontario Street 200, Hokin Gallery",52188
/0,"Chicago, North Michigan Avenue 40, German Cultural Centre, Goethe Institute",52188
/0,"Chichester, Market Cross",52188
/0,Chichén Itzá,52188
/0,Chiefswood Cottage,52188
/0,Childwick Green,52188
/0,Chilean,52188
/0,Chioggia,52188
/0,"Chirk, Chirk Castle",52188
/0,Cholmondeley sisters,52188
/0,"Chopin, Frédéric",52188
/0,Chouzy,52188
/0,Christ - artist,52188
/0,Christ and the Woman of Samaria,52188
/0,Christ and the money changers,52188
/0,Christ anointed by Mary,52188
/0,Christ debating in the Temple,52188
/0,Christchurch,52188
/0,Christchurch Bay,52188
/0,Christianity,52188
/0,Chrysaor,52188
/0,Church Beck Falls,52188
/0,Château Gaillard,52188
/0,Château d'O,52188
/0,Château de Chambord,52188
/0,Château de Chillon,52188
/0,Château de Chokier,52188
/0,Château de Montcontour,52188
/0,Château de Saint-Michel,52188
/0,Château de Saint-Pierre,52188
/0,Château de Vaux-le-Vicomte,52188
/0,"Cibber, Colley, 'The Non Juror'",52188
/0,"Cima da Conegliano, painting, 'Incredulity of St Thomas'",52188
/0,Cinderella,52188
/0,"Civita Castellana, Santa Maria del Carmine",52188
/0,Clapham Common - non-specific,52188
/0,Clarence Gardens,52188
/0,"Clarendon, Edward Hyde, 1st Earl of",52188
/0,"Clark, Ossie",52188
/0,"Clarke, Matthew",52188
/0,"Claude, painting, 'Christ Appearing to Mary Magdalen'",52188
/0,"Claude, painting, 'Landscape with David and the Three Heroes'",52188
/0,"Claude, painting, 'Landscape with Hagar and the Angel'",52188
/0,"Claude, painting, 'Landscape with Philip Baptising the Eunuch'",52188
/0,"Claude, painting, 'Parnassus'",52188
/0,Clayhidon,52188
/0,"Clemente, Francesco",52188
/0,"Clemente, Francesco, painting",52188
/0,"Cleves, Museum Schloss Moyland",52188
/0,Clink Wharf,52188
/0,Clitheroe - non-specific,52188
/0,Clovelly,52188
/0,"Coalbrookdale, Bedlam Furnace",52188
/0,"Coalville, St Bernard's Abbey",52188
/0,"Coblenz, Ehrenbreitstein",52188
/0,Cobra,52188
/0,Coburg - non specific,52188
