id,material
97932,"on paper, unique 12 drawings, ink on paper"
20154,"on paper, unique Oil paint and resin on cardboard"
38225,"on paper, unique"
8448,"on paper, print Lithograph on paper"
71560,"on paper, print Photograph, gelatin silver print on paper"
99495,installation Ink on banknote
58769,"on paper, unique Graphite on paper"
8449,"on paper, print Lithograph on paper"
62240,"on paper, unique Graphite on paper"
67144,painting Oil paint on canvas
40678,"on paper, unique"
3548,"on paper, print Aquatint on paper"
64647,"on paper, unique Graphite on paper"
22552,"on paper, unique Watercolour on paper"
57306,"on paper, unique Graphite on paper"
33335,"on paper, unique Graphite on paper"
59703,"on paper, unique"
20155,"on paper, unique Graphite, ink, oil paint and adhesive on paper mounted on cardboard"
14253,"on paper, print Screenprint on paper"
282,"on paper, print Photograph, colour, Chromogenic print, on paper on Perspex"
39689,"on paper, unique Graphite on paper"
71563,"on paper, print Photograph, gelatin silver print on paper mounted on board"
99494,installation Ink on banknote
43170,"on paper, unique Graphite on paper"
34799,"on paper, unique Pen and ink on paper"
96998,"on paper, print Blueprint on paper"
3547,"on paper, print Aquatint on paper"
38228,"on paper, unique"
64648,"on paper, unique Graphite on paper"
40677,"on paper, unique"
16650,"on paper, print Line engraving on paper"
283,"installation Film, 16 mm, shown as video, projection, colour and sound (mono)"
22551,"on paper, unique Watercolour on paper"
59702,"on paper, unique"
57307,"on paper, unique Graphite on paper"
20156,"on paper, print Etching on paper"
33334,"on paper, unique Graphite on paper"
14254,"on paper, print Screenprint on paper"
99493,installation Ink on banknote
34798,"on paper, unique Pen and ink on paper"
97097,"on paper, print 6 photographs, black and white, on paper"
96999,"on paper, print Blueprint on paper"
38227,"on paper, unique"
40676,"on paper, unique"
64649,"on paper, unique"
3546,"on paper, print Aquatint on paper"
59705,"on paper, unique Graphite on paper"
38222,"on paper, unique Graphite on paper"
14255,"on paper, unique Screenprint on paper"
99492,installation Ink on banknote
11759,"on paper, print Screenprint on paper"
35726,"on paper, unique Graphite on paper"
6048,sculpture Elm on plywood base
8445,"on paper, print Lithograph on paper"
57308,"on paper, unique Graphite on paper"
62245,"on paper, unique Graphite on paper"
96996,"on paper, print Blueprint on paper"
97096,"on paper, print Photograph, black and white, on paper"
64642,"on paper, unique Graphite on paper"
40675,"on paper, unique"
43172,"on paper, unique Graphite on paper"
39687,"on paper, unique Graphite on paper"
70100,sculpture Hoptonwood stone on Portland stone base
16652,"on paper, print Line engraving on paper"
59704,"on paper, unique"
38221,"on paper, unique"
14256,"on paper, unique Screenprint and mixed media on paper"
35727,"on paper, unique Graphite on paper"
6049,sculpture Holly
11758,"on paper, print Screenprint on paper"
57309,"on paper, unique Graphite on paper"
8444,"on paper, print Lithograph on paper"
99491,installation Ink on banknote
37289,"on paper, unique Graphite on paper"
43171,"on paper, unique"
62244,"on paper, unique Graphite on paper"
40674,"on paper, unique"
96997,"on paper, print Blueprint on paper"
64643,"on paper, unique Graphite on paper"
97095,"on paper, print Photograph, black and white, on paper"
39688,"on paper, unique Graphite on paper"
16651,"on paper, print Line engraving on paper"
20150,painting Oil paint on canvas
38224,"on paper, unique"
45570,"on paper, unique Graphite on paper"
8447,"on paper, print Lithograph on paper"
35728,"on paper, unique Graphite on paper"
11757,"on paper, print Etching on paper"
41610,"on paper, unique Graphite on paper"
99490,installation Ink on banknote
33339,"on paper, unique Graphite and watercolour on paper"
59707,"on paper, unique Graphite on paper"
62243,"on paper, unique Graphite on paper"
43174,"on paper, unique"
39685,"on paper, unique Graphite on paper"
97094,"on paper, print Photograph, black and white, on paper"
64644,"on paper, unique Graphite on paper"
40673,"on paper, unique"
20151,"on paper, unique Ink on paper"
96994,"on paper, print Blueprint on paper"
14257,"on paper, print Screenprint on paper"
16654,"on paper, print Line engraving on paper"
33338,"on paper, unique Graphite and watercolour on paper"
41611,"on paper, unique Graphite on paper"
38223,"on paper, unique"
11756,"on paper, print Screenprint on paper"
8446,"on paper, print Lithograph on paper"
35729,"on paper, unique Graphite on paper"
59706,"on paper, unique Graphite on paper"
97093,"on paper, print Photograph, black and white, on paper"
39686,"on paper, unique Graphite on paper"
62242,"on paper, unique Graphite on paper"
40672,"on paper, unique"
43173,"on paper, unique Graphite on paper"
64645,"on paper, unique Graphite on paper"
20152,"on paper, unique Ink and watercolour on paper"
16653,"on paper, print Line engraving on paper"
96995,"on paper, print Blueprint on paper"
14258,"on paper, print Screenprint on paper"
27451,"on paper, unique Graphite on paper"
49005,"on paper, unique Graphite on paper"
71569,"on paper, unique Ink on paper"
25054,"on paper, unique Ink and watercolour on paper"
24955,"on paper, unique Graphite on paper"
30833,"on paper, unique Gouache and graphite on paper"
16656,"on paper, print Line engraving on paper"
22558,"on paper, unique Graphite, watercolour and ink on paper"
58760,"on paper, unique Graphite on paper"
34793,"on paper, unique Pen and ink on paper"
19152,"on paper, print Etching and aquatint on paper"
48906,"on paper, unique Graphite on paper"
6044,sculpture Bronze on wooden base
46509,"on paper, unique Graphite on paper"
8441,painting Oil paint on canvas
40671,"on paper, unique"
32396,"on paper, unique Chalk on paper"
56364,"on paper, unique Graphite on paper"
14259,"on paper, print Screenprint on paper"
5946,painting Oil paint on canvas
62249,"on paper, unique Graphite on paper"
54809,"on paper, unique Chalk on paper"
49004,"on paper, unique Graphite on paper"
8440,"on paper, unique Graphite on paper"
98039,"on paper, print Mezzotint and watercolour on paper"
27450,"on paper, unique Graphite on paper"
54807,"on paper, unique Graphite on paper"
16655,"on paper, print Line engraving on paper"
25055,"on paper, unique Graphite on paper. Verso: graphite on paper"
24956,"on paper, unique Graphite on paper"
30834,"on paper, unique Gouache and graphite on paper"
22557,"on paper, unique Watercolour on paper"
34792,"on paper, unique Pen and ink on paper"
48905,"on paper, unique Graphite on paper"
58761,"on paper, unique Graphite on paper"
56365,"on paper, unique Graphite on paper"
19153,"on paper, print Etching aquatint on paper"
6045,sculpture Marble on wooden base
40670,"on paper, unique"
32397,"on paper, unique Chalk on paper"
5947,painting Oil paint on canvas
54808,"on paper, unique"
62248,"on paper, unique Graphite on paper"
25052,"on paper, unique Watercolour on paper"
54806,"on paper, unique Graphite on paper"
49003,"on paper, unique Graphite on paper"
30831,"on paper, unique Chalk, graphite and watercolour on paper"
24953,"on paper, unique Graphite on paper"
16658,"on paper, print Line engraving on paper"
48904,"on paper, unique Graphite on paper"
32394,"on paper, unique Chalk on paper"
58762,"on paper, unique Graphite on paper"
34791,"on paper, unique Graphite on paper"
56366,"on paper, unique Graphite on paper"
8443,"on paper, print Lithograph on paper"
52409,"on paper, unique Chalk and graphite on paper"
6046,sculpture Bronze
46507,"on paper, unique Graphite on paper"
19150,"on paper, print Lithograph on paper"
121731,"on paper, print 9 sheets of printed paper, card cover and staple bound"
64640,"on paper, unique Graphite on paper"
5948,painting Oil paint on canvas
62247,"on paper, unique Graphite on paper"
